period_label	start_year	end_year	total	metric_wording	comparability_group	source_label	source_url	source_location
2005/06	2005	2006	2814	People fed by foodbanks nationwide; each received a three-day emergency food supply	historical_archive	Trussell UK foodbank network report 2012	https://data.parliament.uk/DepositedPapers/Files/DEP2013-0499/Trussell_Trust_report_147805.pdf	Page 2 chart
2006/07	2006	2007	9174	People fed by foodbanks nationwide; each received a three-day emergency food supply	historical_archive	Trussell UK foodbank network report 2012	https://data.parliament.uk/DepositedPapers/Files/DEP2013-0499/Trussell_Trust_report_147805.pdf	Page 2 chart
2007/08	2007	2008	13849	People fed by foodbanks nationwide; each received a three-day emergency food supply	historical_archive	Trussell UK foodbank network report 2012	https://data.parliament.uk/DepositedPapers/Files/DEP2013-0499/Trussell_Trust_report_147805.pdf	Page 2 chart
2008/09	2008	2009	25899	People fed by foodbanks nationwide; each received a three-day emergency food supply	historical_archive	Trussell UK foodbank network report 2012	https://data.parliament.uk/DepositedPapers/Files/DEP2013-0499/Trussell_Trust_report_147805.pdf	Page 2 chart
2009/10	2009	2010	40898	People fed by foodbanks nationwide; each received a three-day emergency food supply	historical_archive	Trussell UK foodbank network report 2012	https://data.parliament.uk/DepositedPapers/Files/DEP2013-0499/Trussell_Trust_report_147805.pdf	Page 2 chart
2010/11	2010	2011	61468	People fed by foodbanks nationwide; each received a three-day emergency food supply	historical_archive	Trussell UK foodbank network report 2012	https://data.parliament.uk/DepositedPapers/Files/DEP2013-0499/Trussell_Trust_report_147805.pdf	Page 2 chart
2011/12	2011	2012	128697	People fed by foodbanks nationwide; each received a three-day emergency food supply	historical_archive	Trussell UK foodbank network report 2012	https://data.parliament.uk/DepositedPapers/Files/DEP2013-0499/Trussell_Trust_report_147805.pdf	Page 2 chart
2012/13	2012	2013	346992	People fed by the foodbank network	historical_archive	Trussell accounts for year ended 31 March 2013 (Companies House filing)	https://find-and-update.company-information.service.gov.uk/company/05434524/filing-history/MzA4NjgzNzExMWFkaXF6a2N4/document?format=pdf&download=0	Trustees' report, page 6
2013/14	2013	2014	913138	People in crisis fed by the foodbank network	historical_archive	Trussell accounts for year ended 31 March 2014 (Companies House filing)	https://find-and-update.company-information.service.gov.uk/company/05434524/filing-history/MzExMDQ0MTk5NWFkaXF6a2N4/document?format=pdf&download=0	Trustees' report, page 6
2014/15	2014	2015	1084604	People given three days' emergency food	historical_archive	Trussell accounts for year ended 31 March 2015 (Companies House filing)	https://find-and-update.company-information.service.gov.uk/company/05434524/filing-history/MzEzNjkxOTY4NmFkaXF6a2N4/document?format=pdf&download=0	Trustees' report, page 6
2015/16	2015	2016	1109309	Three-day emergency food supplies distributed to people in crisis	historical_archive	Trussell accounts for year ended 31 March 2016 (Companies House filing)	https://find-and-update.company-information.service.gov.uk/company/05434524/filing-history/MzE2NTkzMjUxN2FkaXF6a2N4/document?format=pdf&download=0	Foodbank Network section
2016/17	2016	2017	1182954	Three-day emergency food supplies distributed to people in crisis	historical_archive	Trussell Annual Report and Accounts 2016/17	https://cms.trussell.org.uk/sites/default/files/2024-09/Annual-Report-and-Accounts-2016-2017-Updated-Feb2018.pdf	Page 12
2017/18	2017	2018	1332952	Three-day emergency food supplies distributed to people in crisis	historical_archive	Trussell Annual Report and Accounts 2017/18	https://cms.trussell.org.uk/sites/default/files/2024-09/Trussell-Trust-Annual-Report-and-Account-2017-18.pdf	Page 5
