iso3,metric,household,earnings,value,year,source
AUT,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,13.624459,2024,OECD Taxing Wages (comparative)
BEL,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,19.576368,2024,OECD Taxing Wages (comparative)
CHE,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,5.40778,2024,OECD Taxing Wages (comparative)
CZE,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,7.790861,2024,OECD Taxing Wages (comparative)
DEU,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,19.881104,2024,OECD Taxing Wages (comparative)
DNK,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,26.642983,2024,OECD Taxing Wages (comparative)
ESP,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,16.947893,2024,OECD Taxing Wages (comparative)
EST,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,12.687712,2024,OECD Taxing Wages (comparative)
FIN,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,26.139084,2024,OECD Taxing Wages (comparative)
FRA,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,16.95005,2024,OECD Taxing Wages (comparative)
GBR,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,17.717802,2024,OECD Taxing Wages (comparative)
GRC,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,23.665261,2024,OECD Taxing Wages (comparative)
HUN,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,23.19362,2024,OECD Taxing Wages (comparative)
IRL,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,10.661773,2024,OECD Taxing Wages (comparative)
ISL,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,14.188928,2024,OECD Taxing Wages (comparative)
ITA,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,14.672634,2024,OECD Taxing Wages (comparative)
LTU,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,24.210202,2024,OECD Taxing Wages (comparative)
LUX,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,9.997364,2024,OECD Taxing Wages (comparative)
LVA,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,15.776489,2024,OECD Taxing Wages (comparative)
NLD,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,19.305022,2024,OECD Taxing Wages (comparative)
NOR,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,23.486916,2024,OECD Taxing Wages (comparative)
POL,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,-2.519685,2024,OECD Taxing Wages (comparative)
PRT,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,10.166581,2024,OECD Taxing Wages (comparative)
SVK,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,-7.523474,2024,OECD Taxing Wages (comparative)
SVN,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,21.474559,2024,OECD Taxing Wages (comparative)
SWE,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,17.241903,2024,OECD Taxing Wages (comparative)
USA,net_personal_avg_tax_rate_pct,couple2kids_1earner,100aw,13.600941,2024,OECD Taxing Wages (comparative)
AUT,net_personal_avg_tax_rate_pct,single_nokids,100aw,32.111939,2024,OECD Taxing Wages (comparative)
BEL,net_personal_avg_tax_rate_pct,single_nokids,100aw,39.528297,2024,OECD Taxing Wages (comparative)
CHE,net_personal_avg_tax_rate_pct,single_nokids,100aw,18.024402,2024,OECD Taxing Wages (comparative)
CZE,net_personal_avg_tax_rate_pct,single_nokids,100aw,21.003209,2024,OECD Taxing Wages (comparative)
DEU,net_personal_avg_tax_rate_pct,single_nokids,100aw,37.45737,2024,OECD Taxing Wages (comparative)
DNK,net_personal_avg_tax_rate_pct,single_nokids,100aw,35.785371,2024,OECD Taxing Wages (comparative)
ESP,net_personal_avg_tax_rate_pct,single_nokids,100aw,23.194772,2024,OECD Taxing Wages (comparative)
EST,net_personal_avg_tax_rate_pct,single_nokids,100aw,20.641494,2024,OECD Taxing Wages (comparative)
FIN,net_personal_avg_tax_rate_pct,single_nokids,100aw,30.58901,2024,OECD Taxing Wages (comparative)
FRA,net_personal_avg_tax_rate_pct,single_nokids,100aw,27.899456,2024,OECD Taxing Wages (comparative)
GBR,net_personal_avg_tax_rate_pct,single_nokids,100aw,21.934619,2024,OECD Taxing Wages (comparative)
GRC,net_personal_avg_tax_rate_pct,single_nokids,100aw,26.01341,2024,OECD Taxing Wages (comparative)
HUN,net_personal_avg_tax_rate_pct,single_nokids,100aw,33.5,2024,OECD Taxing Wages (comparative)
IRL,net_personal_avg_tax_rate_pct,single_nokids,100aw,25.887711,2024,OECD Taxing Wages (comparative)
ISL,net_personal_avg_tax_rate_pct,single_nokids,100aw,27.216177,2024,OECD Taxing Wages (comparative)
ITA,net_personal_avg_tax_rate_pct,single_nokids,100aw,30.213841,2024,OECD Taxing Wages (comparative)
LTU,net_personal_avg_tax_rate_pct,single_nokids,100aw,38.332956,2024,OECD Taxing Wages (comparative)
LUX,net_personal_avg_tax_rate_pct,single_nokids,100aw,32.401776,2024,OECD Taxing Wages (comparative)
