year,academic_year,tuition_current_usd,tuition_constant2022_usd,source,source_url
1963,1963-64,243.0,2364.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1968,1968-69,321.0,2697.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1969,1969-70,358.0,2843.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1970,1970-71,394.0,2970.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1971,1971-72,428.0,3115.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1972,1972-73,503.0,3519.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1973,1973-74,514.0,3301.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1974,1974-75,512.0,2965.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1975,1975-76,542.0,2930.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1976,1976-77,617.0,3148.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1977,1977-78,655.0,3132.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1978,1978-79,688.0,3009.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1979,1979-80,738.0,2847.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1980,1980-81,804.0,2781.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1981,1981-82,909.0,2896.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1982,1982-83,1031.0,3149.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1983,1983-84,1148.0,3379.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1984,1984-85,1228.0,3479.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1986,1986-87,1414.0,3809.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1987,1987-88,1537.0,3977.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1988,1988-89,1646.0,4071.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1989,1989-90,1780.0,4200.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1990,1990-91,1888.0,4225.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1991,1991-92,2117.0,4590.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1992,1992-93,2349.0,4939.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1993,1993-94,2537.0,5199.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1994,1994-95,2681.0,5341.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1995,1995-96,2848.0,5523.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1996,1996-97,2987.0,5634.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1997,1997-98,3110.0,5761.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
1998,1998-99,3229.0,5881.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2000,2000-01,3501.0,5991.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2001,2001-02,3735.0,6282.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2002,2002-03,4046.0,6659.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2003,2003-04,4587.0,7386.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2004,2004-05,5027.0,7858.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2005,2005-06,5351.0,8059.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2006,2006-07,5666.0,8318.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2007,2007-08,5943.0,8413.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2008,2008-09,6312.0,8812.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2009,2009-10,6717.0,9287.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2010,2010-11,7132.0,9667.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2011,2011-12,7713.0,10158.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
2012,2012-13,8070.0,10454.0,"NCES Digest 2023 Table 330.10 (Public 4-year, in-district)",https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
