iso3,year,metric,value,source
GBR,2007,trust_national_govt_pct,42.5,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
GBR,2010,trust_national_govt_pct,40.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
GBR,2013,trust_national_govt_pct,42.33,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
GBR,2016,trust_national_govt_pct,43.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
GBR,2019,trust_national_govt_pct,40.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
GBR,2022,trust_national_govt_pct,35.67,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
GBR,2024,trust_national_govt_pct,34.5,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
AUT,2007,trust_national_govt_pct,50.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
AUT,2010,trust_national_govt_pct,41.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
AUT,2013,trust_national_govt_pct,40.33,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
AUT,2016,trust_national_govt_pct,43.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
AUT,2019,trust_national_govt_pct,48.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
AUT,2022,trust_national_govt_pct,56.67,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
AUT,2024,trust_national_govt_pct,46.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BEL,2007,trust_national_govt_pct,57.5,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BEL,2010,trust_national_govt_pct,40.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BEL,2013,trust_national_govt_pct,42.67,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BEL,2016,trust_national_govt_pct,45.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BEL,2019,trust_national_govt_pct,40.67,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BEL,2022,trust_national_govt_pct,44.33,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BEL,2024,trust_national_govt_pct,50.5,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BGR,2007,trust_national_govt_pct,28.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BGR,2010,trust_national_govt_pct,37.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BGR,2013,trust_national_govt_pct,26.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BGR,2016,trust_national_govt_pct,20.33,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BGR,2019,trust_national_govt_pct,27.33,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BGR,2022,trust_national_govt_pct,22.67,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
BGR,2024,trust_national_govt_pct,10.5,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
CZE,2007,trust_national_govt_pct,27.5,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
CZE,2010,trust_national_govt_pct,33.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
CZE,2013,trust_national_govt_pct,20.67,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
CZE,2016,trust_national_govt_pct,40.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
CZE,2019,trust_national_govt_pct,38.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
CZE,2022,trust_national_govt_pct,31.33,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
CZE,2024,trust_national_govt_pct,37.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
DEU,2007,trust_national_govt_pct,33.5,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
DEU,2010,trust_national_govt_pct,45.33,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
DEU,2013,trust_national_govt_pct,50.0,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
DEU,2016,trust_national_govt_pct,59.33,OECD Trust in Government via Our World in Data (grapher: oecd-average-trust-in-governments)
