nation,nation_code,period,date,metric,value,unit,source
England,ENG,2018-04,2018-04-30,ae_4hr_pct,88.57248828216929,percent,NHS England
England,ENG,2018-05,2018-05-31,ae_4hr_pct,90.39011151983544,percent,NHS England
England,ENG,2018-06,2018-06-30,ae_4hr_pct,90.7629724223498,percent,NHS England
England,ENG,2018-07,2018-07-31,ae_4hr_pct,89.31949047110504,percent,NHS England
England,ENG,2018-08,2018-08-31,ae_4hr_pct,89.72702710007839,percent,NHS England
England,ENG,2018-09,2018-09-30,ae_4hr_pct,88.94368286304747,percent,NHS England
England,ENG,2018-10,2018-10-31,ae_4hr_pct,89.00933497219513,percent,NHS England
England,ENG,2018-11,2018-11-30,ae_4hr_pct,87.60446687116354,percent,NHS England
England,ENG,2018-12,2018-12-31,ae_4hr_pct,86.44632183941728,percent,NHS England
England,ENG,2019-01,2019-01-31,ae_4hr_pct,84.3525141560121,percent,NHS England
England,ENG,2019-02,2019-02-28,ae_4hr_pct,84.22525009629418,percent,NHS England
England,ENG,2019-03,2019-03-31,ae_4hr_pct,86.60931161481321,percent,NHS England
England,ENG,2019-04,2019-04-30,ae_4hr_pct,85.12516777808553,percent,NHS England
England,ENG,2019-05,2019-05-31,ae_4hr_pct,87.96204982859163,percent,NHS England
England,ENG,2019-06,2019-06-30,ae_4hr_pct,87.73322605879447,percent,NHS England
England,ENG,2019-07,2019-07-31,ae_4hr_pct,87.83625085538951,percent,NHS England
England,ENG,2019-08,2019-08-31,ae_4hr_pct,87.63876571148965,percent,NHS England
England,ENG,2019-09,2019-09-30,ae_4hr_pct,86.70979044856112,percent,NHS England
England,ENG,2019-10,2019-10-31,ae_4hr_pct,85.2583163087865,percent,NHS England
England,ENG,2019-11,2019-11-30,ae_4hr_pct,83.29241126099542,percent,NHS England
England,ENG,2019-12,2019-12-31,ae_4hr_pct,81.8302555746589,percent,NHS England
England,ENG,2020-01,2020-01-31,ae_4hr_pct,83.50713975303458,percent,NHS England
England,ENG,2020-02,2020-02-29,ae_4hr_pct,84.49975148386218,percent,NHS England
England,ENG,2020-03,2020-03-31,ae_4hr_pct,85.84666023850357,percent,NHS England
England,ENG,2020-04,2020-04-30,ae_4hr_pct,91.47532935111693,percent,NHS England
England,ENG,2020-05,2020-05-31,ae_4hr_pct,94.22579937028317,percent,NHS England
England,ENG,2020-06,2020-06-30,ae_4hr_pct,93.56934131668608,percent,NHS England
England,ENG,2020-07,2020-07-31,ae_4hr_pct,92.8679091800847,percent,NHS England
England,ENG,2020-08,2020-08-31,ae_4hr_pct,90.33748050468789,percent,NHS England
England,ENG,2020-09,2020-09-30,ae_4hr_pct,88.65952723923772,percent,NHS England
England,ENG,2020-10,2020-10-31,ae_4hr_pct,86.1817354207686,percent,NHS England
England,ENG,2020-11,2020-11-30,ae_4hr_pct,85.67489644324982,percent,NHS England
England,ENG,2020-12,2020-12-31,ae_4hr_pct,82.51450829132405,percent,NHS England
England,ENG,2021-01,2021-01-31,ae_4hr_pct,80.94218366409675,percent,NHS England
England,ENG,2021-02,2021-02-28,ae_4hr_pct,85.73380142728492,percent,NHS England
England,ENG,2021-03,2021-03-31,ae_4hr_pct,87.68218428387459,percent,NHS England
England,ENG,2021-04,2021-04-30,ae_4hr_pct,86.98334397866931,percent,NHS England
England,ENG,2021-05,2021-05-31,ae_4hr_pct,85.5021965346883,percent,NHS England
England,ENG,2021-06,2021-06-30,ae_4hr_pct,83.36504210219866,percent,NHS England
England,ENG,2021-07,2021-07-31,ae_4hr_pct,80.18622044619578,percent,NHS England
England,ENG,2021-08,2021-08-31,ae_4hr_pct,79.55384345620533,percent,NHS England
England,ENG,2021-09,2021-09-30,ae_4hr_pct,77.98941709398817,percent,NHS England
England,ENG,2021-10,2021-10-31,ae_4hr_pct,76.82734956822841,percent,NHS England
England,ENG,2021-11,2021-11-30,ae_4hr_pct,76.889578032881,percent,NHS England
England,ENG,2021-12,2021-12-31,ae_4hr_pct,76.35564550458167,percent,NHS England
England,ENG,2022-01,2022-01-31,ae_4hr_pct,77.19690998623082,percent,NHS England
England,ENG,2022-02,2022-02-28,ae_4hr_pct,76.23557615663296,percent,NHS England
England,ENG,2022-03,2022-03-31,ae_4hr_pct,74.72073268413894,percent,NHS England
England,ENG,2022-04,2022-04-30,ae_4hr_pct,75.17010088742289,percent,NHS England
England,ENG,2022-05,2022-05-31,ae_4hr_pct,75.7422237627141,percent,NHS England
England,ENG,2022-06,2022-06-30,ae_4hr_pct,75.0694326891884,percent,NHS England
England,ENG,2022-07,2022-07-31,ae_4hr_pct,74.17327670965392,percent,NHS England
England,ENG,2022-08,2022-08-31,ae_4hr_pct,74.7718946784528,percent,NHS England
England,ENG,2022-09,2022-09-30,ae_4hr_pct,74.16829268171247,percent,NHS England
England,ENG,2022-10,2022-10-31,ae_4hr_pct,72.79390391713451,percent,NHS England
England,ENG,2022-11,2022-11-30,ae_4hr_pct,72.36350768586803,percent,NHS England
England,ENG,2022-12,2022-12-31,ae_4hr_pct,68.96876698666436,percent,NHS England
England,ENG,2023-01,2023-01-31,ae_4hr_pct,75.45924531254286,percent,NHS England
England,ENG,2023-02,2023-02-28,ae_4hr_pct,74.59659746567769,percent,NHS England
England,ENG,2023-03,2023-03-31,ae_4hr_pct,74.58215813746479,percent,NHS England
England,ENG,2023-04,2023-04-30,ae_4hr_pct,77.34616821694755,percent,NHS England
England,ENG,2023-05,2023-05-31,ae_4hr_pct,76.83384841572648,percent,NHS England
England,ENG,2023-06,2023-06-30,ae_4hr_pct,73.38077553121992,percent,NHS England
England,ENG,2023-07,2023-07-31,ae_4hr_pct,74.03053113778743,percent,NHS England
England,ENG,2023-08,2023-08-31,ae_4hr_pct,73.03054561414235,percent,NHS England
England,ENG,2023-09,2023-09-30,ae_4hr_pct,71.69861837030183,percent,NHS England
England,ENG,2023-10,2023-10-31,ae_4hr_pct,70.31456804776292,percent,NHS England
England,ENG,2023-11,2023-11-30,ae_4hr_pct,69.81893204600145,percent,NHS England
England,ENG,2023-12,2023-12-31,ae_4hr_pct,69.50631556882226,percent,NHS England
England,ENG,2024-01,2024-01-31,ae_4hr_pct,70.36490984277117,percent,NHS England
England,ENG,2024-02,2024-02-29,ae_4hr_pct,70.99241735416545,percent,NHS England
England,ENG,2024-03,2024-03-31,ae_4hr_pct,74.34526147561768,percent,NHS England
England,ENG,2024-04,2024-04-30,ae_4hr_pct,74.48595686643448,percent,NHS England
England,ENG,2024-05,2024-05-31,ae_4hr_pct,73.96072163463687,percent,NHS England
England,ENG,2024-06,2024-06-30,ae_4hr_pct,74.58851427487888,percent,NHS England
England,ENG,2024-07,2024-07-31,ae_4hr_pct,75.21709095538947,percent,NHS England
England,ENG,2024-08,2024-08-31,ae_4hr_pct,76.33348158151344,percent,NHS England
England,ENG,2024-09,2024-09-30,ae_4hr_pct,74.21716119061502,percent,NHS England
England,ENG,2024-10,2024-10-31,ae_4hr_pct,73.08484174780642,percent,NHS England
England,ENG,2024-11,2024-11-30,ae_4hr_pct,72.18157423894102,percent,NHS England
England,ENG,2024-12,2024-12-31,ae_4hr_pct,71.12139557208344,percent,NHS England
England,ENG,2025-01,2025-01-31,ae_4hr_pct,73.00672187833896,percent,NHS England
England,ENG,2025-02,2025-02-28,ae_4hr_pct,73.46134302904451,percent,NHS England
England,ENG,2025-03,2025-03-31,ae_4hr_pct,74.97982473470782,percent,NHS England
England,ENG,2025-04,2025-04-30,ae_4hr_pct,74.78381193520909,percent,NHS England
England,ENG,2025-05,2025-05-31,ae_4hr_pct,75.40238303686839,percent,NHS England
England,ENG,2025-06,2025-06-30,ae_4hr_pct,75.55648731640542,percent,NHS England
England,ENG,2025-07,2025-07-31,ae_4hr_pct,76.40782011120585,percent,NHS England
England,ENG,2025-08,2025-08-31,ae_4hr_pct,75.87621535137501,percent,NHS England
England,ENG,2025-09,2025-09-30,ae_4hr_pct,75.05040641115876,percent,NHS England
England,ENG,2025-10,2025-10-31,ae_4hr_pct,74.18553379758845,percent,NHS England
England,ENG,2025-11,2025-11-30,ae_4hr_pct,74.21695186204276,percent,NHS England
England,ENG,2025-12,2025-12-31,ae_4hr_pct,73.84184694035912,percent,NHS England
Northern Ireland,NIR,2015-01,2015-01-31,ae_4hr_pct,74.81105101167385,percent,Department of Health (NI)
Northern Ireland,NIR,2015-02,2015-02-28,ae_4hr_pct,71.437015145918,percent,Department of Health (NI)
Northern Ireland,NIR,2015-03,2015-03-31,ae_4hr_pct,73.72495446265937,percent,Department of Health (NI)
Northern Ireland,NIR,2015-04,2015-04-30,ae_4hr_pct,74.29920427906363,percent,Department of Health (NI)
Northern Ireland,NIR,2015-05,2015-05-31,ae_4hr_pct,75.75629363232494,percent,Department of Health (NI)
Northern Ireland,NIR,2015-06,2015-06-30,ae_4hr_pct,78.11001365642963,percent,Department of Health (NI)
Northern Ireland,NIR,2015-07,2015-07-31,ae_4hr_pct,81.03570896941831,percent,Department of Health (NI)
Northern Ireland,NIR,2015-08,2015-08-31,ae_4hr_pct,76.83715939389998,percent,Department of Health (NI)
Northern Ireland,NIR,2015-09,2015-09-30,ae_4hr_pct,78.0784123910939,percent,Department of Health (NI)
Northern Ireland,NIR,2015-10,2015-10-31,ae_4hr_pct,76.92234833535922,percent,Department of Health (NI)
Northern Ireland,NIR,2015-11,2015-11-30,ae_4hr_pct,75.33270355822934,percent,Department of Health (NI)
Northern Ireland,NIR,2015-12,2015-12-31,ae_4hr_pct,74.98127085745419,percent,Department of Health (NI)
Northern Ireland,NIR,2016-01,2016-01-31,ae_4hr_pct,74.25658309077602,percent,Department of Health (NI)
Northern Ireland,NIR,2016-02,2016-02-29,ae_4hr_pct,73.99452621741598,percent,Department of Health (NI)
Northern Ireland,NIR,2016-03,2016-03-31,ae_4hr_pct,73.4142239308025,percent,Department of Health (NI)
Northern Ireland,NIR,2016-04,2016-04-30,ae_4hr_pct,74.16040412859772,percent,Department of Health (NI)
Northern Ireland,NIR,2016-05,2016-05-31,ae_4hr_pct,75.10614001698241,percent,Department of Health (NI)
Northern Ireland,NIR,2016-06,2016-06-30,ae_4hr_pct,75.5563955246447,percent,Department of Health (NI)
Northern Ireland,NIR,2016-07,2016-07-31,ae_4hr_pct,76.0570907604766,percent,Department of Health (NI)
Northern Ireland,NIR,2016-08,2016-08-31,ae_4hr_pct,76.00553730071803,percent,Department of Health (NI)
Northern Ireland,NIR,2016-09,2016-09-30,ae_4hr_pct,76.37857043975819,percent,Department of Health (NI)
Northern Ireland,NIR,2016-10,2016-10-31,ae_4hr_pct,74.20605000452393,percent,Department of Health (NI)
Northern Ireland,NIR,2016-11,2016-11-30,ae_4hr_pct,73.98405536958877,percent,Department of Health (NI)
Northern Ireland,NIR,2016-12,2016-12-31,ae_4hr_pct,69.87534626038781,percent,Department of Health (NI)
Northern Ireland,NIR,2017-01,2017-01-31,ae_4hr_pct,72.02181687541845,percent,Department of Health (NI)
Northern Ireland,NIR,2017-02,2017-02-28,ae_4hr_pct,74.7568415548196,percent,Department of Health (NI)
Northern Ireland,NIR,2017-03,2017-03-31,ae_4hr_pct,74.7782113678549,percent,Department of Health (NI)
Northern Ireland,NIR,2017-04,2017-04-30,ae_4hr_pct,74.50980392156863,percent,Department of Health (NI)
Northern Ireland,NIR,2017-05,2017-05-31,ae_4hr_pct,76.92520125377999,percent,Department of Health (NI)
Northern Ireland,NIR,2017-06,2017-06-30,ae_4hr_pct,81.21386000976058,percent,Department of Health (NI)
