iso3,country,period,metric,category,value,unit,legality,flow_type,source
GBR,United Kingdom,2001,asylum_applications,main_applicant,71027.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2002,asylum_applications,main_applicant,84132.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2003,asylum_applications,main_applicant,49407.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2004,asylum_applications,main_applicant,33960.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2005,asylum_applications,main_applicant,25712.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2006,asylum_applications,main_applicant,23617.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2007,asylum_applications,main_applicant,23432.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2008,asylum_applications,main_applicant,25933.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2009,asylum_applications,main_applicant,24487.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2010,asylum_applications,main_applicant,17916.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2011,asylum_applications,main_applicant,19865.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2012,asylum_applications,main_applicant,21843.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2013,asylum_applications,main_applicant,23584.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2014,asylum_applications,main_applicant,25033.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2015,asylum_applications,main_applicant,32733.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2016,asylum_applications,main_applicant,30747.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2017,asylum_applications,main_applicant,26547.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2018,asylum_applications,main_applicant,29504.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2019,asylum_applications,main_applicant,35737.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2020,asylum_applications,main_applicant,29440.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2021,asylum_applications,main_applicant,48182.0,claims,legal,count,Home Office Immigration System Statistics
